barcode,Name,Ensembl
Neutro,1110008F13Rik,
Neutro,Oas3,
Neutro,Ikbkap,
Neutro,Pnkp,
Neutro,Riok3,
B lymph,Jchain,
B lymph,Slpi,
B lymph,Mzb1,
B lymph,Cd79a,
B lymph,Cd79b,
B lymph,Ly6d,
B lymph,Ebf1,
B lymph,Mef2c,
B lymph,Sec11c,
B lymph,Txndc5,
B lymph,Hsp90b1,
B lymph,Ms4a1,
B lymph,Cd37,
B lymph,Gm43603,
B lymph,Sdf2l1,
B lymph,H2-DMb2,
B lymph,Gm43291,
B lymph,Serp1,
B lymph,Manf,
B lymph,Fcmr,
B lymph,Xbp1,
B lymph,Bank1,
B lymph,Ssr4,
B lymph,Edem1,
B lymph,Vpreb3,
B lymph,H2-Ob,
B lymph,Pou2af1,
B lymph,Creld2,
B lymph,Derl3,
B lymph,Siglecg,
B lymph,Ralgps2,
B lymph,4930523C07Rik,
B lymph,Sec61b,
B lymph,Gm8369,
B lymph,Rexo2,
B lymph,H13,
B lymph,Krtcap2,
B lymph,Ptp4a3,
B lymph,Fchsd2,
B lymph,Pold4,
B lymph,Tnfrsf13b,
B lymph,Cmah,
B lymph,Prdx4,
B lymph,Tnfrsf17,
B lymph,Hspa5,
B lymph,Hvcn1,
B lymph,Trp53inp1,
B lymph,Fcrla,
B lymph,Ckap4,
B lymph,Dnajc3,
B lymph,Edem2,
B lymph,Pafah1b3,
B lymph,Blnk,
B lymph,Tnfrsf13c,
B lymph,Pax5,
B lymph,H2-Oa,
B lymph,Txndc11,
B lymph,Btla,
B lymph,Smap2,
B lymph,Cd22,
B lymph,Cd19,
B lymph,Scd1,
B lymph,Fam46c,
B lymph,Srp9,
B lymph,Fkbp11,
B lymph,Snx2,
B lymph,Sec61a1,
B lymph,Spcs3,
B lymph,Spib,
B lymph,Eaf2,
T lymph,Ltb,
T lymph,Rpl12,
T lymph,Gimap3,
T lymph,Rps16,
T lymph,Cxcr6,
T lymph,Rps4x,
T lymph,Il7r,
T lymph,Rps23,
T lymph,Gm10260,
T lymph,Rplp1,
T lymph,Satb1,
T lymph,Bcl11b,
T lymph,Lef1,
T lymph,Fam189b,
T lymph,Rasgrp1,
T lymph,Rapgef6,
T lymph,Tpt1,
T lymph,Socs2,
T lymph,Itk,
NK,Ccl5,
NK,Gzma,
NK,Nkg7,
NK,Gzmb,
NK,Klrd1,
NK,Klrk1,
NK,Ccnd2,
NK,Klre1,
NK,Irf8,
NK,Klra4,
NK,Ncr1,
NK,Cma1,
NK,Klrb1c,
NK,Ctsw,
NK,Dusp2,
NK,Txk,
NK,Itgb2,
NK,Jak1,
NK,Klrc1,
NK,Klra8,
NK,Dok2,
NK,Cst7,
NK,Klra7,
NK,Klra9,
NK,Ugcg,
NK,Gm19585,
NK,Hsd11b1,
NK,Klrc2,
NK,Il18rap,
NK,Cap1,
NK,Klrb1b,
NK,Samd3,
NK,Lfng,
NK,Lamb3,
NK,Vps37b,
NK,Klrb1a,
NK,Fasl,
NK,Klra1,
NK,Dapk2,
NK,Ifitm10,
NK,Prf1,
NK,Tbx21,
NK,Klrb1f,
NK,Chsy1,
NK,Pole4,
NK,Gem,
NK,Ctla2b,
